Date,Open,High,Low,Close,Volume
5-Mar-03,76.70,77.73,76.25,77.73,6658000
4-Mar-03,77.60,77.75,76.53,76.70,5672200
3-Mar-03,78.90,79.00,77.12,77.33,6618300
28-Feb-03,77.00,78.47,77.00,77.95,6585200
27-Feb-03,77.90,78.59,76.75,77.28,9926500
26-Feb-03,78.45,79.05,77.30,77.40,8587000
25-Feb-03,77.90,79.37,76.90,79.07,7675900
24-Feb-03,79.70,79.99,78.56,78.56,6874700
21-Feb-03,79.49,80.00,78.16,79.95,7453900
20-Feb-03,79.57,80.05,78.71,79.15,6285100
19-Feb-03,79.08,79.70,78.82,79.51,5440300
18-Feb-03,78.02,79.50,77.91,79.33,7791200
14-Feb-03,76.40,77.45,75.35,77.45,8299500
13-Feb-03,76.10,76.35,74.31,75.86,11218400
12-Feb-03,77.50,78.09,76.50,76.50,5609200
11-Feb-03,78.30,78.97,77.31,77.39,8598200
10-Feb-03,77.10,78.02,76.45,77.91,7949100
7-Feb-03,77.97,78.15,76.61,77.10,8296400
6-Feb-03,77.11,78.20,76.51,77.51,7755200
5-Feb-03,77.70,78.75,76.72,77.11,7427200
4-Feb-03,78.03,78.03,76.10,76.94,7216200
3-Feb-03,78.05,78.72,77.60,78.03,6683500
31-Jan-03,77.55,78.19,76.87,78.05,9744100
30-Jan-03,81.14,81.14,78.15,78.15,7349500
29-Jan-03,79.35,80.54,78.42,80.16,7755000
28-Jan-03,78.35,80.31,78.21,79.95,8017400
27-Jan-03,77.84,79.35,77.46,78.27,9307800
24-Jan-03,80.44,81.34,78.67,78.84,7748000
23-Jan-03,79.99,81.20,79.65,80.89,8371400
22-Jan-03,79.84,80.61,79.24,79.55,9432400
21-Jan-03,81.14,81.69,80.34,80.38,8926900
17-Jan-03,83.58,83.58,81.02,81.14,17331200
16-Jan-03,87.23,87.54,85.21,85.88,9904300
15-Jan-03,88.41,88.48,86.78,87.42,8146600
14-Jan-03,87.06,88.42,87.05,88.41,7569100
13-Jan-03,88.14,88.78,87.18,87.34,10499000
10-Jan-03,85.68,87.87,85.53,87.51,9955400
9-Jan-03,84.59,86.85,84.59,86.83,10711600
8-Jan-03,85.38,85.52,83.91,84.03,9508800
7-Jan-03,83.79,86.01,83.59,85.83,11906900
6-Jan-03,81.74,84.64,81.65,83.43,7921300
3-Jan-03,80.54,81.49,80.05,81.49,5962300
2-Jan-03,78.65,80.41,78.04,80.41,7864500
31-Dec-02,76.95,78.31,76.95,77.35,7871400
30-Dec-02,76.85,77.28,75.45,76.10,8066600
27-Dec-02,78.35,79.03,76.46,77.21,6334100
26-Dec-02,79.65,80.54,78.11,78.35,5784300
24-Dec-02,80.04,80.84,79.61,79.61,2420200
23-Dec-02,79.60,81.34,79.29,80.10,5922200
20-Dec-02,79.25,79.84,78.73,79.64,8053800
19-Dec-02,78.45,80.18,78.20,78.51,7319900
18-Dec-02,79.10,79.54,78.09,78.98,6514900
17-Dec-02,80.44,81.61,79.87,80.15,6167100
16-Dec-02,79.45,81.63,78.90,81.46,8483500
13-Dec-02,79.10,79.84,78.12,79.84,7773800
12-Dec-02,81.09,81.53,79.55,80.01,7208700
11-Dec-02,80.64,82.32,79.83,81.28,6661000
10-Dec-02,78.45,80.84,78.45,80.64,6869800
9-Dec-02,80.84,81.17,79.35,79.44,8841900
6-Dec-02,81.34,82.59,80.91,82.16,7594800
5-Dec-02,84.74,84.82,82.44,82.90,6900000
4-Dec-02,83.25,84.70,82.66,83.53,10053500
3-Dec-02,86.55,86.86,84.98,85.04,7027800
2-Dec-02,88.43,89.29,86.13,87.13,9694200
29-Nov-02,87.54,87.88,86.59,86.75,2980700
27-Nov-02,85.73,87.94,85.68,87.53,8209800
26-Nov-02,85.98,85.98,84.23,84.89,8560800
25-Nov-02,84.47,86.08,83.36,86.03,8651200
22-Nov-02,83.79,85.00,83.64,84.27,9053300
21-Nov-02,81.89,84.76,81.89,84.74,12737200
20-Nov-02,77.80,81.55,77.75,81.45,9070900
19-Nov-02,78.09,79.30,77.69,78.22,6918400
18-Nov-02,80.64,80.83,78.93,79.03,7321300
15-Nov-02,80.22,80.24,78.86,79.85,11367800
14-Nov-02,80.22,80.83,79.25,80.56,9662800
13-Nov-02,79.35,80.17,77.83,79.20,11984700
12-Nov-02,77.35,79.74,77.15,79.00,9027700
11-Nov-02,77.44,78.21,76.55,77.14,7386400
8-Nov-02,78.35,79.14,77.05,77.44,8119600
7-Nov-02,79.84,79.84,78.17,78.80,11036800
6-Nov-02,80.64,81.72,79.89,81.38,10480800
5-Nov-02,81.44,81.70,80.17,81.37,10466700
4-Nov-02,81.68,83.49,81.39,82.19,12006000
1-Nov-02,78.60,80.20,78.02,80.10,9395200
31-Oct-02,78.37,79.49,78.20,78.64,9864300
30-Oct-02,76.71,79.10,75.73,78.37,12865800
29-Oct-02,76.27,76.76,73.92,76.45,11455200
28-Oct-02,74.87,77.21,74.28,76.27,12544900
25-Oct-02,72.23,74.34,71.89,74.28,7514200
24-Oct-02,75.21,75.26,71.48,71.83,10524000
23-Oct-02,74.12,74.69,72.19,74.32,12441900
22-Oct-02,74.22,75.39,73.34,74.21,10371500
21-Oct-02,73.37,75.61,72.66,75.26,10875700
18-Oct-02,71.46,73.97,69.99,73.97,12482900
17-Oct-02,72.53,72.72,70.96,71.93,21344600
16-Oct-02,66.35,66.75,64.00,64.65,15900200
15-Oct-02,67.49,68.22,66.33,68.22,14600200
14-Oct-02,61.31,63.56,61.31,63.18,7925300
11-Oct-02,61.77,63.68,61.27,63.68,17853800
10-Oct-02,54.44,58.26,53.81,57.36,12670600
9-Oct-02,55.84,56.49,54.60,54.86,12156000
8-Oct-02,57.56,57.87,54.59,56.83,14744500
7-Oct-02,56.39,58.28,56.39,56.65,9641600
4-Oct-02,59.28,59.29,55.56,56.39,14551900
3-Oct-02,60.07,60.93,58.73,59.77,11001100
2-Oct-02,60.95,61.77,58.13,59.40,10653300
1-Oct-02,58.98,61.75,58.77,60.94,11642800
30-Sep-02,59.33,59.66,57.77,58.09,13020100
27-Sep-02,61.20,63.25,60.08,60.13,8793100
26-Sep-02,63.96,64.64,61.10,61.79,12368800
25-Sep-02,60.97,63.53,60.76,62.77,13119200
24-Sep-02,60.85,63.06,59.33,59.52,16710100
23-Sep-02,63.51,63.51,62.13,63.13,8377100
20-Sep-02,65.15,65.15,63.66,63.68,14195200
19-Sep-02,64.56,66.23,64.41,64.56,22034900
18-Sep-02,70.38,70.63,68.60,69.29,12712700
17-Sep-02,72.72,73.17,71.08,71.48,6195100
16-Sep-02,71.73,72.45,70.96,72.05,4595200
13-Sep-02,71.23,72.60,71.04,72.23,5949600
12-Sep-02,73.77,73.77,71.37,71.60,6707400
11-Sep-02,76.11,77.21,73.78,73.92,5394400
10-Sep-02,74.32,75.31,73.57,75.31,5538300
9-Sep-02,72.18,74.70,71.58,74.22,5785000
6-Sep-02,73.47,73.71,72.79,72.92,4586500
5-Sep-02,72.47,72.57,71.23,71.91,6467700
4-Sep-02,72.08,73.71,71.33,73.45,6264600
3-Sep-02,73.92,74.72,72.03,72.08,6849400
30-Aug-02,75.26,76.06,74.82,75.10,5002500
29-Aug-02,75.31,77.06,74.87,76.33,5857400
28-Aug-02,75.71,76.72,75.38,75.77,6590300
27-Aug-02,80.10,80.14,77.01,77.67,7087800
26-Aug-02,80.10,80.58,77.51,79.12,6997800
23-Aug-02,80.89,81.17,79.05,80.10,5908900
22-Aug-02,80.64,82.14,79.90,81.68,5446600
21-Aug-02,81.59,82.02,79.25,80.69,7768600
20-Aug-02,81.25,81.69,79.88,80.96,7671000
19-Aug-02,79.05,82.54,78.71,82.18,10803900
16-Aug-02,76.21,79.68,75.69,79.05,11645800
15-Aug-02,75.12,76.42,74.32,76.21,9267300
14-Aug-02,71.68,74.74,71.08,74.64,8353000
13-Aug-02,71.28,73.52,70.92,71.63,8014700
12-Aug-02,70.78,72.37,70.34,71.50,5263300
9-Aug-02,70.34,74.02,70.13,71.56,6940900
8-Aug-02,68.94,71.78,68.09,71.34,8420500
7-Aug-02,68.74,69.64,66.55,68.91,8037300
6-Aug-02,66.60,69.01,66.21,67.49,8370800
